,name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
227,RR Pant,355,20,289,122.8373702422145,4,22.1875,2,3,1,0,14.0,214.0,2.0,17.833333333333332,187.0,114.4385026737968,1.0,2.0,0.0,0.0,10.0,187.0,1.0,2.0,0.0,0.0,2.0,23.375,151.0,123.841059602649,6.0,141.0,2.0,35.25,102.0,138.23529411764707,1.0,1.0,1.0,0.0
228,SR Thompson,96,8,83,115.66265060240966,4,24.0,0,0,0,0,1.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,8.0,96.0,0.0,0.0,0.0,0.0,4.0,24.0,83.0,115.66265060240966,7.0,95.0,3.0,23.75,82.0,115.85365853658536,0.0,0.0,0.0,0.0
229,AR Patel,7,1,3,233.3333333333333,1,inf,0,0,0,0,1.0,7.0,1.0,0.0,3.0,233.33333333333331,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,233.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,R Mutumbami,178,10,135,131.85185185185185,1,19.777777777777782,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,178.0,1.0,1.0,1.0,0.0,1.0,19.777777777777782,135.0,131.85185185185185,10.0,178.0,1.0,19.777777777777782,135.0,131.85185185185185,1.0,1.0,1.0,0.0
231,Mahmudullah,256,12,203,126.10837438423646,3,28.444444444444446,0,2,1,0,5.0,140.0,1.0,35.0,116.0,120.6896551724138,0.0,1.0,1.0,0.0,10.0,198.0,0.0,1.0,1.0,0.0,3.0,28.285714285714285,147.0,134.69387755102042,7.0,116.0,2.0,23.2,87.0,133.33333333333334,0.0,1.0,0.0,0.0
232,JC Buttler,463,13,319,145.141065830721,3,46.3,1,1,5,0,2.0,121.0,1.0,121.0,85.0,142.35294117647058,0.0,1.0,1.0,0.0,10.0,389.0,1.0,1.0,4.0,0.0,3.0,55.57142857142857,275.0,141.45454545454547,11.0,342.0,2.0,38.0,234.0,146.15384615384616,1.0,0.0,4.0,0.0
233,CJA Amini,179,9,142,126.05633802816901,3,29.83333333333333,2,2,1,0,2.0,79.0,1.0,79.0,49.0,161.22448979591837,0.0,0.0,1.0,0.0,9.0,179.0,2.0,2.0,1.0,0.0,3.0,29.83333333333333,142.0,126.05633802816901,7.0,100.0,2.0,20.0,93.0,107.52688172043013,2.0,2.0,0.0,0.0
234,KD Shah,424,19,373,113.67292225201072,4,28.266666666666666,2,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,155.0,2.0,0.0,1.0,0.0,2.0,19.375,132.0,117.42424242424242,19.0,424.0,4.0,28.266666666666666,373.0,113.67292225201072,2.0,2.0,3.0,0.0
235,N Dickwella,214,11,159,134.59119496855342,1,21.4,2,4,0,0,3.0,96.0,1.0,48.0,70.0,137.14285714285714,0.0,2.0,0.0,0.0,10.0,196.0,2.0,4.0,0.0,0.0,1.0,21.777777777777782,149.0,131.54362416107384,8.0,118.0,0.0,14.75,89.0,132.58426966292134,2.0,2.0,0.0,0.0
236,JA Richardson,30,5,28,107.14285714285714,3,15.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,3.0,15.0,28.0,107.14285714285714,5.0,30.0,3.0,15.0,28.0,107.14285714285714,0.0,0.0,0.0,0.0
237,JOA Gordon,1,1,2,50.0,1,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0,1.0,1.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0
238,CJ Chibhabha,46,3,40,115.0,0,15.333333333333336,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,1.0,1.0,0.0,0.0,0.0,15.333333333333336,40.0,115.0,3.0,46.0,0.0,15.333333333333336,40.0,115.0,1.0,1.0,0.0,0.0
239,Mohammad Saifuddin,51,5,49,104.08163265306122,3,25.5,0,1,0,0,3.0,14.0,2.0,14.0,7.0,200.0,0.0,0.0,0.0,0.0,5.0,51.0,0.0,1.0,0.0,0.0,3.0,25.5,49.0,104.08163265306122,2.0,37.0,1.0,37.0,42.0,88.09523809523809,0.0,1.0,0.0,0.0
240,NLTC Perera,127,8,101,125.74257425742573,3,25.4,0,1,0,0,2.0,32.0,1.0,32.0,20.0,160.0,0.0,0.0,0.0,0.0,8.0,127.0,0.0,1.0,0.0,0.0,3.0,25.4,101.0,125.74257425742573,6.0,95.0,2.0,23.75,81.0,117.28395061728395,0.0,1.0,0.0,0.0
241,Khawar Ali,279,15,258,108.13953488372091,1,19.928571428571427,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,243.0,1.0,2.0,2.0,0.0,1.0,27.0,194.0,125.25773195876288,15.0,279.0,1.0,19.928571428571427,258.0,108.13953488372091,2.0,2.0,2.0,0.0
242,KA Pollard,489,15,331,147.73413897280966,3,40.75,1,6,3,0,5.0,140.0,0.0,28.0,95.0,147.3684210526316,1.0,2.0,1.0,0.0,10.0,335.0,1.0,4.0,2.0,0.0,1.0,37.22222222222222,196.0,170.91836734693874,10.0,349.0,3.0,49.85714285714285,236.0,147.88135593220338,0.0,4.0,2.0,0.0
243,CH Gayle,49,5,57,85.96491228070175,0,9.8,1,0,0,0,5.0,49.0,0.0,9.8,57.0,85.96491228070175,1.0,0.0,0.0,0.0,5.0,49.0,1.0,0.0,0.0,0.0,0.0,9.8,57.0,85.96491228070175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
