name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
AC Agar,94,10,81,116.04938271604938,4,15.666666666666666,2,0,0,0,,,,,,,,,,,10.0,94.0,2.0,0.0,0.0,0.0,4.0,15.666666666666666,81.0,116.04938271604938,10.0,94.0,4.0,15.666666666666666,81.0,116.04938271604938,2.0,0.0,0.0,0.0
CT Mutombodzi,116,9,124,93.5483870967742,2,16.571428571428573,1,1,0,0,,,,,,,,,,,9.0,116.0,1.0,1.0,0.0,0.0,2.0,16.571428571428573,124.0,93.54838709677419,9.0,116.0,2.0,16.571428571428573,124.0,93.54838709677419,1.0,1.0,0.0,0.0
B Kumar,1,1,3,33.333333333333336,0,1.0,0,0,0,0,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.333333333333336,1.0,1.0,0.0,1.0,3.0,33.333333333333336,0.0,0.0,0.0,0.0
B Muzarabani,5,2,7,71.42857142857143,1,5.0,1,0,0,0,,,,,,,,,,,2.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,7.0,71.42857142857143,2.0,5.0,1.0,5.0,7.0,71.42857142857143,1.0,0.0,0.0,0.0
RE van der Merwe,243,13,193,125.90673575129534,6,34.714285714285715,3,0,2,0,2.0,87.0,1.0,87.0,51.0,170.58823529411765,0.0,0.0,1.0,0.0,10.0,156.0,2.0,0.0,1.0,0.0,5.0,31.2,141.0,110.63829787234043,11.0,156.0,5.0,26.0,142.0,109.85915492957747,3.0,0.0,1.0,0.0
Najeeb Tarakai,42,3,44,95.45454545454544,0,14.0,0,0,0,0,,,,,,,,,,,3.0,42.0,0.0,0.0,0.0,0.0,0.0,14.0,44.0,95.45454545454545,3.0,42.0,0.0,14.0,44.0,95.45454545454545,0.0,0.0,0.0,0.0
RN ten Doeschate,281,12,214,131.30841121495328,6,46.833333333333336,1,3,2,0,,,,,,,,,,,10.0,233.0,1.0,2.0,2.0,0.0,4.0,38.833333333333336,179.0,130.16759776536313,12.0,281.0,6.0,46.833333333333336,214.0,131.30841121495328,1.0,3.0,2.0,0.0
B Mavuta,10,2,9,111.11111111111111,1,10.0,1,0,0,0,,,,,,,,,,,2.0,10.0,1.0,0.0,0.0,0.0,1.0,10.0,9.0,111.11111111111111,2.0,10.0,1.0,10.0,9.0,111.11111111111111,1.0,0.0,0.0,0.0
SF Mire,4,1,4,100.0,0,4.0,0,0,0,0,,,,,,,,,,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,4.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0
AD Hales,39,3,26,150.0,0,13.0,0,0,0,0,,,,,,,,,,,3.0,39.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,150.0,3.0,39.0,0.0,13.0,26.0,150.0,0.0,0.0,0.0,0.0
