,Unnamed: 0,date,name,team,opposition,venue,batting_innings,innings_played,previous_average,previous_strike_rate,previous_centuries,previous_fifties,previous_zeros,runs,balls,not_out,previous_thirties,home
1208,1208,2009-05-07,10,2,3,28,,13,35.9,125.0718839256215,0,2,0,0,,True,3,0
1209,1209,2009-06-08,59,3,5,29,,3,27.0,138.5714285714286,0,0,0,22,,False,1,0
1210,1210,2009-06-08,237,3,5,29,,5,35.4,132.5914272685818,0,1,0,0,,False,1,0
1211,1211,2009-06-08,20,3,5,29,,14,34.18181818181818,96.00532708891842,0,2,1,25,,False,2,0
1212,1212,2009-06-08,186,3,5,29,,7,17.75,81.51709401709402,0,0,1,16,,False,0,0
1213,1213,2009-06-08,18,3,5,29,,12,19.55555555555556,83.23280423280423,0,0,3,11,,False,3,0
1214,1214,2009-06-08,238,3,5,29,,7,30.16666666666667,106.4829614829615,0,1,1,28,,False,1,0
1215,1215,2009-06-08,23,3,5,29,,10,24.625,112.7772727272727,0,1,1,1,,False,2,0
1216,1216,2009-06-08,187,3,5,29,,4,24.0,192.7272727272727,0,0,0,28,,True,0,0
1217,1217,2009-06-08,61,3,5,29,,7,18.75,90.3061224489796,0,0,2,15,,False,1,0
1218,1218,2009-06-08,311,3,5,29,,1,2.0,25.0,0,0,0,4,,False,0,0
1219,1219,2009-06-08,62,3,5,29,,5,3.666666666666667,58.78787878787877,0,0,1,4,,True,0,0
1220,1220,2009-06-08,98,5,3,29,,9,23.0,72.74213220641792,0,1,1,53,,False,1,0
1221,1221,2009-06-08,43,5,3,29,,10,36.33333333333334,126.0855158730159,0,3,2,2,,False,3,0
1222,1222,2009-06-08,99,5,3,29,,7,19.71428571428572,112.3290843420716,0,0,0,55,,True,1,0
1223,1223,2009-06-08,44,5,3,29,,9,29.16666666666667,99.93699152301302,0,1,1,9,,False,2,0
1224,1224,2009-06-08,169,5,3,29,,7,20.6,101.0633727175081,0,0,0,11,,False,1,0
1225,1225,2009-06-08,171,5,3,29,,7,33.0,126.8123981281876,0,0,1,21,,True,3,0
1226,1226,2009-06-11,24,4,13,29,,23,38.64705882352941,117.7019099151577,0,5,0,10,,False,4,0
1227,1227,2009-06-11,313,4,13,29,,0,0.0,0.0,0,0,0,63,,False,0,0
1228,1228,2009-06-11,235,4,13,29,,4,14.25,79.76503759398496,0,0,1,45,,True,1,0
1229,1229,2009-06-11,27,4,13,29,,16,22.07692307692308,103.1433001711968,0,1,0,42,,False,2,0
1230,1230,2009-06-11,87,4,13,29,,14,29.54545454545455,124.9506447781813,0,2,1,15,,False,2,0
1231,1231,2009-06-11,39,4,13,29,,2,3.5,45.83333333333334,0,0,0,5,,False,0,0
1232,1232,2009-06-11,35,4,13,29,,6,19.66666666666667,103.9686076450782,0,0,0,7,,True,0,0
