,name,overall_runs,overall_innings,overall_balls,strike_rate,overall_notout,overall_average,zeros,thirties,fifties,centries,home_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,away_innings,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate
37,Sharafuddin Ashraf,19,2,19,100.0,0,9.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,9.5,19.0,100.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,9.5,19.0,100.0
38,CJ Dala,14,3,22,63.63636363636363,3,inf,1,0,0,0,2.0,2.0,2.0,0.0,4.0,50.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,18.0,66.66666666666667,0.0,0.0,0.0,0.0,3.0,14.0,1.0,0.0,0.0,0.0,3.0,0.0,22.0,63.63636363636363
39,PHKD Mendis,24,1,14,171.42857142857142,0,24.0,0,0,0,0,1.0,24.0,0.0,24.0,14.0,171.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,171.42857142857142
40,MS Dhoni,1487,79,1214,122.48764415156508,43,41.305555555555564,2,14,2,0,28.0,601.0,14.0,42.92857142857143,471.0,127.60084925690022,0.0,7.0,1.0,0.0,51.0,886.0,29.0,40.27272727272727,743.0,119.24629878869447,2.0,7.0,1.0,0.0,10.0,262.0,0.0,3.0,1.0,0.0,5.0,52.4,179.0,146.36871508379892
41,Sufyan Mehmood,13,1,32,40.625,1,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,32.0,40.625,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,40.625
42,SPD Smith,431,25,361,119.39058171745151,6,22.684210526315788,1,2,2,0,6.0,99.0,1.0,19.8,83.0,119.27710843373494,0.0,1.0,0.0,0.0,19.0,332.0,5.0,23.714285714285715,278.0,119.42446043165468,1.0,1.0,2.0,0.0,10.0,266.0,0.0,1.0,2.0,0.0,1.0,29.555555555555557,208.0,127.8846153846154
43,BKG Mendis,333,16,231,144.15584415584416,1,22.2,0,0,4,0,8.0,163.0,0.0,20.375,117.0,139.31623931623932,0.0,0.0,2.0,0.0,8.0,170.0,1.0,24.285714285714285,114.0,149.12280701754386,0.0,0.0,2.0,0.0,10.0,278.0,0.0,0.0,4.0,0.0,0.0,27.8,187.0,148.6631016042781
44,Shafiqullah,336,30,252,133.33333333333334,10,16.8,4,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,336.0,10.0,16.8,252.0,133.33333333333334,4.0,3.0,1.0,0.0,10.0,56.0,3.0,0.0,0.0,0.0,3.0,8.0,46.0,121.7391304347826
45,Rameez Shahzad,218,9,197,110.65989847715737,3,36.333333333333336,1,3,0,0,9.0,218.0,3.0,36.333333333333336,197.0,110.65989847715737,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,218.0,1.0,3.0,0.0,0.0,3.0,36.333333333333336,197.0,110.65989847715737
46,SA Abbott,5,1,9,55.555555555555564,0,5.0,0,0,0,0,1.0,5.0,0.0,5.0,9.0,55.555555555555564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,55.555555555555564
47,Ashfaq Ahmed,0,1,3,0.0,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
48,GJ Maxwell,1345,51,898,149.7772828507795,8,31.27906976744186,2,9,5,2,14.0,323.0,3.0,29.363636363636363,234.0,138.03418803418805,1.0,3.0,0.0,1.0,37.0,1022.0,5.0,31.9375,664.0,153.9156626506024,1.0,6.0,5.0,1.0,10.0,253.0,0.0,2.0,2.0,0.0,0.0,25.3,210.0,120.4761904761905
49,GH O'Brien,7,1,7,100.0,1,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,7.0,100.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,100.0
50,Sompal Kami,77,6,76,101.31578947368419,1,15.4,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,77.0,1.0,15.4,76.0,101.31578947368419,1.0,1.0,0.0,0.0,6.0,77.0,1.0,1.0,0.0,0.0,1.0,15.4,76.0,101.31578947368419
51,FJ Klaassen,2,2,2,100.0,1,2.0,0,0,0,0,2.0,2.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,100.0
52,B Bhandari,13,8,30,43.33333333333334,1,1.8571428571428568,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,1.0,1.8571428571428568,30.0,43.33333333333334,2.0,0.0,0.0,0.0,8.0,13.0,2.0,0.0,0.0,0.0,1.0,1.8571428571428568,30.0,43.33333333333334
53,Ahmed Raza,41,8,75,54.66666666666666,3,8.2,2,0,0,0,4.0,27.0,2.0,13.5,48.0,56.25,0.0,0.0,0.0,0.0,4.0,14.0,1.0,4.666666666666667,27.0,51.85185185185186,2.0,0.0,0.0,0.0,8.0,41.0,2.0,0.0,0.0,0.0,3.0,8.2,75.0,54.66666666666666
54,SL Malinga,78,21,101,77.22772277227723,8,6.0,6,0,0,0,8.0,16.0,2.0,2.6666666666666665,35.0,45.714285714285715,4.0,0.0,0.0,0.0,13.0,62.0,6.0,8.857142857142858,66.0,93.93939393939394,2.0,0.0,0.0,0.0,10.0,15.0,4.0,0.0,0.0,0.0,1.0,1.6666666666666667,38.0,39.473684210526315
55,PM Seelaar,129,17,137,94.16058394160584,6,11.727272727272727,0,1,0,0,6.0,80.0,4.0,40.0,73.0,109.58904109589041,0.0,1.0,0.0,0.0,11.0,49.0,2.0,5.4444444444444455,64.0,76.5625,0.0,0.0,0.0,0.0,10.0,108.0,0.0,1.0,0.0,0.0,4.0,18.0,106.0,101.8867924528302
56,RR Hendricks,313,14,276,113.40579710144928,0,22.357142857142854,2,3,1,0,6.0,198.0,0.0,33.0,162.0,122.22222222222223,0.0,2.0,1.0,0.0,8.0,115.0,0.0,14.375,114.0,100.87719298245615,2.0,1.0,0.0,0.0,10.0,234.0,1.0,2.0,1.0,0.0,0.0,23.4,191.0,122.5130890052356
57,S Dhawan,1232,45,952,129.41176470588235,4,30.04878048780488,1,9,9,0,18.0,437.0,2.0,27.3125,371.0,117.78975741239893,0.0,3.0,3.0,0.0,27.0,795.0,2.0,31.8,581.0,136.83304647160068,1.0,6.0,6.0,0.0,10.0,358.0,0.0,2.0,3.0,0.0,0.0,35.8,254.0,140.94488188976382
58,TP Visee,97,8,74,131.0810810810811,0,12.125,2,0,0,0,5.0,86.0,0.0,17.2,62.0,138.70967741935485,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.6666666666666665,12.0,91.66666666666669,2.0,0.0,0.0,0.0,8.0,97.0,2.0,0.0,0.0,0.0,0.0,12.125,74.0,131.0810810810811
59,DJ Bravo,1142,58,1013,112.7344521224087,13,25.377777777777773,5,9,4,0,18.0,345.0,5.0,26.538461538461537,366.0,94.2622950819672,0.0,3.0,0.0,0.0,40.0,797.0,8.0,24.90625,647.0,123.18392581143739,5.0,6.0,4.0,0.0,10.0,182.0,0.0,1.0,1.0,0.0,1.0,20.222222222222218,191.0,95.28795811518324
60,KS Williamson,1424,52,1193,119.36295054484494,10,33.904761904761905,2,10,9,0,22.0,679.0,6.0,42.4375,554.0,122.56317689530684,1.0,3.0,6.0,0.0,30.0,745.0,4.0,28.653846153846153,639.0,116.58841940532082,1.0,7.0,3.0,0.0,10.0,215.0,1.0,1.0,2.0,0.0,0.0,21.5,199.0,108.04020100502512
61,GJ Thompson,75,7,80,93.75,1,12.5,2,1,0,0,1.0,44.0,0.0,44.0,32.0,137.5,0.0,1.0,0.0,0.0,6.0,31.0,1.0,6.2,48.0,64.58333333333333,2.0,0.0,0.0,0.0,7.0,75.0,2.0,1.0,0.0,0.0,1.0,12.5,80.0,93.75
62,BJ McCarthy,11,2,7,157.14285714285714,1,11.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,11.0,7.0,157.14285714285714,1.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,11.0,7.0,157.14285714285714
63,Sikandar Raza,382,27,365,104.65753424657534,2,15.28,0,3,1,0,11.0,221.0,1.0,22.1,203.0,108.86699507389164,0.0,2.0,1.0,0.0,16.0,161.0,1.0,10.733333333333333,162.0,99.38271604938272,0.0,1.0,0.0,0.0,10.0,104.0,0.0,1.0,0.0,0.0,2.0,13.0,98.0,106.12244897959185
64,SS Iyer,83,5,81,102.46913580246914,1,20.75,1,1,0,0,5.0,83.0,1.0,20.75,81.0,102.46913580246914,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,1.0,1.0,0.0,0.0,1.0,20.75,81.0,102.46913580246914
65,T Maruma,72,6,64,112.5,3,24.0,1,0,0,0,3.0,33.0,1.0,16.5,30.0,110.0,1.0,0.0,0.0,0.0,3.0,39.0,2.0,39.0,34.0,114.70588235294115,0.0,0.0,0.0,0.0,6.0,72.0,1.0,0.0,0.0,0.0,3.0,24.0,64.0,112.5
66,Rizwan Cheema,63,10,73,86.3013698630137,0,6.3,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,63.0,0.0,6.3,73.0,86.3013698630137,3.0,1.0,0.0,0.0,10.0,63.0,3.0,1.0,0.0,0.0,0.0,6.3,73.0,86.3013698630137
67,Hamza Tariq,26,2,23,113.04347826086956,0,13.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,13.0,23.0,113.04347826086956,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,113.04347826086956
68,KD Karthik,352,21,257,136.96498054474708,11,35.2,2,5,0,0,4.0,58.0,4.0,0.0,49.0,118.36734693877553,0.0,1.0,0.0,0.0,17.0,294.0,7.0,29.4,208.0,141.34615384615384,2.0,4.0,0.0,0.0,10.0,181.0,1.0,3.0,0.0,0.0,7.0,60.33333333333334,122.0,148.36065573770492
69,JO Holder,42,4,37,113.5135135135135,1,14.0,1,0,0,0,3.0,40.0,1.0,20.0,33.0,121.21212121212122,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,4.0,42.0,1.0,0.0,0.0,0.0,1.0,14.0,37.0,113.5135135135135
70,AV Lalcheta,71,7,58,122.41379310344827,3,17.75,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,71.0,3.0,17.75,58.0,122.41379310344827,0.0,0.0,0.0,0.0,7.0,71.0,0.0,0.0,0.0,0.0,3.0,17.75,58.0,122.41379310344827
71,L Ngidi,6,2,9,66.66666666666667,1,6.0,0,0,0,0,1.0,2.0,1.0,0.0,3.0,66.66666666666667,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,6.0,66.66666666666667,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,66.66666666666667
72,SHA Rance,2,2,4,50.0,0,1.0,0,0,0,0,1.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,50.0
73,MP O'Dowd,155,10,130,119.23076923076924,2,19.375,0,2,0,0,4.0,93.0,0.0,23.25,74.0,125.67567567567568,0.0,2.0,0.0,0.0,6.0,62.0,2.0,15.5,56.0,110.71428571428572,0.0,0.0,0.0,0.0,10.0,155.0,0.0,2.0,0.0,0.0,2.0,19.375,130.0,119.23076923076924
74,Aqib Ilyas,94,4,69,136.231884057971,2,47.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,94.0,2.0,47.0,69.0,136.231884057971,0.0,0.0,1.0,0.0,4.0,94.0,0.0,0.0,1.0,0.0,2.0,47.0,69.0,136.231884057971
75,BA Stokes,232,20,182,127.47252747252749,5,15.466666666666667,1,2,0,0,6.0,83.0,3.0,27.66666666666667,61.0,136.0655737704918,0.0,1.0,0.0,0.0,14.0,149.0,2.0,12.416666666666664,121.0,123.14049586776859,1.0,1.0,0.0,0.0,10.0,131.0,0.0,1.0,0.0,0.0,2.0,16.375,112.0,116.96428571428572
